run_id,scenario,solver,n_proposals,run_iter,seed,start_time,end_time,runtime
b6ba508d-4aaf-4b8a-b331-50ada365ed14,LIN+CONV,Ours,10,4,253,2023-04-01 14:55:47.293965,2023-04-01 14:55:49.457670,2.163705
58800a17-11d7-4134-ae60-528a6b812423,LIN+CONV,Ours,10,5,33,2023-04-01 14:55:49.503369,2023-04-01 14:55:51.729255,2.225886
75a4e1e3-32e4-420d-8ecd-421680f24fec,LIN+CONV,Ours,10,6,254,2023-04-01 14:55:51.775143,2023-04-01 14:55:53.950222,2.175079
dbbac280-3538-4f00-995e-555bb19949a2,LIN+CONV,Ours,10,7,20,2023-04-01 14:55:53.995182,2023-04-01 14:55:56.135366,2.140184
2c4b4a99-08ce-4c47-86bc-8d843cb10033,LIN+CONV,Ours,10,8,119,2023-04-01 14:55:56.180297,2023-04-01 14:55:58.304847,2.12455
9e6cff68-eb7b-4717-95b0-8b2b8d975cec,LIN+CONV,Ours,10,9,5,2023-04-01 14:55:58.349793,2023-04-01 14:56:00.437085,2.087292
e839ee0c-b311-41f9-9bbc-aa3cec0a605e,LIN+CONV,Ours,10,10,37,2023-04-01 14:56:00.482204,2023-04-01 14:56:02.606270,2.124066
7c13c294-400c-45aa-9ddf-8a8413f4e914,NLIN+NCONV,WS,1,1,113,2023-04-01 14:56:07.955931,2023-04-01 14:56:09.458898,1.502967
48a624d5-0cb4-476f-ab36-67c1dae84596,NLIN+NCONV,WS,1,2,183,2023-04-01 14:56:09.463648,2023-04-01 14:56:10.924480,1.460832
d96760f7-eb6d-45c2-b247-e4c29a13b1ab,NLIN+NCONV,WS,1,3,172,2023-04-01 14:56:10.929236,2023-04-01 14:56:12.421554,1.492318
74cc074c-35f0-4989-b75d-73ee93912435,NLIN+NCONV,WS,1,4,253,2023-04-01 14:56:12.426329,2023-04-01 14:56:13.918020,1.491691
1a8ea8cf-5dc6-4118-8431-092b24886f0b,NLIN+NCONV,WS,1,5,33,2023-04-01 14:56:13.922719,2023-04-01 14:56:15.375041,1.452322
b8443b84-7d5c-4b85-ad51-d7442c52c78d,NLIN+NCONV,WS,1,6,254,2023-04-01 14:56:15.379806,2023-04-01 14:56:16.860350,1.480544
f39fd8f7-a6aa-4831-9dcd-17c734b06aff,NLIN+NCONV,WS,1,7,20,2023-04-01 14:56:16.865071,2023-04-01 14:56:18.321470,1.456399
1ecae5bf-82de-4e1a-ad79-d10625f5fd6f,NLIN+NCONV,WS,1,8,119,2023-04-01 14:56:18.326216,2023-04-01 14:56:19.810635,1.484419
7d5bbebf-c346-4864-9325-99b3a424ac31,NLIN+NCONV,WS,1,9,5,2023-04-01 14:56:19.815380,2023-04-01 14:56:21.272896,1.457516
1c5cbea2-5f20-4ef0-8b8c-33a2ad3e3a49,NLIN+NCONV,WS,1,10,37,2023-04-01 14:56:21.277620,2023-04-01 14:56:22.780769,1.503149
234a9969-df1e-4a3e-b316-2e7ae2da8291,NLIN+NCONV,WS,10,1,113,2023-04-01 14:56:22.999212,2023-04-01 14:56:37.800827,14.801615
d77934ab-c477-4e66-a90c-6f052da4b30e,NLIN+NCONV,WS,10,2,183,2023-04-01 14:56:37.846931,2023-04-01 14:56:52.588579,14.741648
97e89e70-4e5b-4a3a-ad33-5579e6fc13fb,NLIN+NCONV,WS,10,3,172,2023-04-01 14:56:52.634654,2023-04-01 14:57:07.420166,14.785512
e17becac-865e-4156-b9df-e88caa83bc39,NLIN+NCONV,WS,10,4,253,2023-04-01 14:57:07.465992,2023-04-01 14:57:22.231773,14.765781
6e9da0e3-4224-4550-a628-f4b07421c6f7,NLIN+NCONV,WS,10,5,33,2023-04-01 14:57:22.277689,2023-04-01 14:57:36.996255,14.718566
3685630e-7186-4c66-9867-f6451092e0bc,NLIN+NCONV,WS,10,6,254,2023-04-01 14:57:37.042336,2023-04-01 14:57:51.772987,14.730651
d984b4fb-753d-4f4f-811d-166ea3616b85,NLIN+NCONV,WS,10,7,20,2023-04-01 14:57:51.819166,2023-04-01 14:58:06.763197,14.944031
51188b64-93f7-48ad-a696-44358c01993c,NLIN+NCONV,WS,10,8,119,2023-04-01 14:58:06.810094,2023-04-01 14:58:21.619696,14.809602
1d62656f-3bba-4eab-bff8-377ead62c370,NLIN+NCONV,WS,10,9,5,2023-04-01 14:58:21.666002,2023-04-01 14:58:36.405854,14.739852
73f0b4d9-aec2-4faa-922f-74ef7f367088,NLIN+NCONV,WS,10,10,37,2023-04-01 14:58:36.452222,2023-04-01 14:58:51.205965,14.753743
301dda03-f2b4-464f-bee4-c877b3640ea7,NLIN+NCONV,Ours,1,1,113,2023-04-01 14:58:51.466877,2023-04-01 14:58:53.482674,2.015797
300a3573-fcf5-4a10-a87e-db6e6e08786b,NLIN+NCONV,Ours,1,2,183,2023-04-01 14:58:53.487530,2023-04-01 14:58:55.559803,2.072273
ea9eaf5d-a3b9-44fc-bac7-664fe6bbf7f0,NLIN+NCONV,Ours,1,3,172,2023-04-01 14:58:55.564746,2023-04-01 14:58:57.596040,2.031294
1cabc837-133a-4055-962a-bb9bef9d684e,NLIN+NCONV,Ours,1,4,253,2023-04-01 14:58:57.600924,2023-04-01 14:58:59.624285,2.023361
40976378-d15f-4e72-a142-93b7fc0ce85b,NLIN+NCONV,Ours,1,5,33,2023-04-01 14:58:59.629199,2023-04-01 14:59:01.697564,2.068365
206d26b5-e7b5-4c11-9c18-4d1b21864d09,NLIN+NCONV,Ours,1,6,254,2023-04-01 14:59:01.702400,2023-04-01 14:59:03.718218,2.015818
d016fd94-a0b4-4964-8cc7-2001a8a699ac,NLIN+NCONV,Ours,1,7,20,2023-04-01 14:59:03.723116,2023-04-01 14:59:05.782988,2.059872
d7ae8693-566d-45e3-8a81-c21d66fea531,NLIN+NCONV,Ours,1,8,119,2023-04-01 14:59:05.787844,2023-04-01 14:59:07.809318,2.021474
